name,country,status,match_title,score,image
Douglas Celtic Super,Bélgica,fallback,,,
Douglas Celtic XXX Strong Lager,Bélgica,fallback,,,
Drossard,Bélgica,fallback,,,
Duchesse de Bourgogne,Bélgica,found,existing,,https://commons.wikimedia.org/wiki/Special:FilePath/Bier%20duchessedebourgogne.jpg
Duff,Alemania,found,File:Duff BEER in Madrid.jpg,224.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Duff_BEER_in_Madrid.jpg/500px-Duff_BEER_in_Madrid.jpg
Dulle Teve Triple,Bélgica,fallback,,,
Duvel,Bélgica,found,existing,,https://commons.wikimedia.org/wiki/Special:FilePath/Duvel%20Logo.png
Eku 28,Alemania,found,File:EKU 28.jpg,167.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/EKU_28.jpg/500px-EKU_28.jpg
Elephant,Dinamarca,found,File:Carlsberg Elephant Beer.jpg,224.0,https://upload.wikimedia.org/wikipedia/commons/4/40/Carlsberg_Elephant_Beer.jpg
Ename Blond,Bélgica,found,File:Ename Blond.JPG,167.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Ename_Blond.JPG/500px-Ename_Blond.JPG
Ename Cuvee,Bélgica,found,File:Ename cuvée rouge.JPG,167.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Ename_cuv%C3%A9e_rouge.JPG/500px-Ename_cuv%C3%A9e_rouge.JPG
Ename Dubbel,Bélgica,found,File:Ename Dubbel.JPG,167.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ename_Dubbel.JPG/500px-Ename_Dubbel.JPG
Ename Triple,Bélgica,found,File:Ename tripel.jpg,129.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Ename_tripel.jpg/500px-Ename_tripel.jpg
Erdinger Champ,Alemania,fallback,,,
Erdinger Dunkel,Alemania,found,existing,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Erdinger.3.beers.JPG
Erdinger Kristal,Alemania,fallback,,,
Erdinger Pikantus,Alemania,found,existing,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Erdinger.3.beers.JPG
Erdinger Weissbier,Alemania,found,existing,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Erdinger.3.beers.JPG
Estrella Galicia 1906,España,fallback,,,
Fin del Mundo,Canadá,fallback,,,
Fischer,Francia,fallback,,,
Flensburger (Biologique),Alemania,fallback,,,
Flensburger Winter Bock,Alemania,fallback,,,
Floreffe Dubbel,Bélgica,fallback,,,
Floreffe Tripel,Bélgica,fallback,,,
Floris Apple,Bélgica,fallback,,,
Floris Cactus,Bélgica,fallback,,,
